,0,1,2,3
1027,14:03:39,0.1,1.5,115.9
1028,14:03:40,0.4,1.5,116.3
1059,14:04:12,34.8,1.5,316.2
1060,14:04:13,0.1,1.5,173.4
1061,14:04:14,0.1,1.5,119.2
1062,14:04:15,0.1,1.5,119.1
1063,14:04:16,0.1,1.5,119.1
1095,14:04:48,11.6,1.5,293.9
1096,14:04:49,0.1,1.5,133.6
1097,14:04:50,0.1,1.5,120.4
1098,14:04:51,0.1,1.5,120.5
1130,14:05:23,0.6,1.5,272.1
1131,14:05:24,0.1,1.5,123.2
1132,14:05:25,0.1,1.5,123.1
1164,14:05:57,18.2,1.5,317.4
1165,14:05:58,0.1,1.5,150.6
1166,14:05:59,0.1,1.5,122.6
1167,14:06:00,0.2,1.5,122.4
1168,14:06:01,0.1,1.5,122.3
1169,14:06:02,0.1,1.5,121.9
1170,14:06:03,0.1,1.5,121.8
1171,14:06:04,0.1,1.5,121.6
1203,14:06:36,2.1,1.5,322.4
1204,14:06:37,1.1,1.5,128.1
1205,14:06:38,0.1,1.5,127.6
1206,14:06:39,0.1,1.5,116.7
1207,14:06:40,0.1,1.5,116.9
1238,14:07:11,53.7,1.5,326.5
1239,14:07:12,0.1,1.5,313.2
1240,14:07:13,0.1,1.5,116.5
1241,14:07:14,0.1,1.5,116.1
1242,14:07:15,0.7,1.5,116.3
1273,14:07:46,48.1,1.5,322.4
1274,14:07:47,0.1,1.5,321.8
1275,14:07:48,0.1,1.5,123.4
1276,14:07:49,0.1,1.5,123.5
1277,14:07:50,0.1,1.5,117.9
1278,14:07:51,0.1,1.5,118.2
1309,14:08:22,57.2,1.5,322.4
1310,14:08:23,0.1,1.5,322.9
1311,14:08:24,0.5,1.5,168.1
1312,14:08:25,0.1,1.5,120.6
1317,14:08:30,7.9,1.5,345.3
1318,14:08:31,0.1,1.5,223.2
1319,14:08:32,0.1,1.5,119.8
1351,14:09:04,35.6,1.5,323.3
1352,14:09:05,0.4,1.5,322.9
1353,14:09:06,0.4,1.5,140.3
1354,14:09:07,0.2,1.5,120.2
1386,14:09:40,50,1.5,323.9
1387,14:09:41,0,1.5,200
1388,14:09:42,0.1,1.5,115.5
1389,14:09:43,0.1,1.5,115.5
1390,14:09:44,0.2,1.5,114.8
1391,14:09:45,0.2,1.5,115.4
1423,14:10:17,31.9,1.5,323.1
1424,14:10:18,0.1,1.5,164.7
1425,14:10:19,0.1,1.5,121
1426,14:10:20,0.1,1.5,120.6
1458,14:10:52,49.4,1.5,325.9
1459,14:10:53,0.1,1.5,248.2
1460,14:10:54,0.1,1.5,112.4
1461,14:10:55,0,1.5,118.5
1462,14:10:56,0.1,1.5,118.5
1129,14:05:22,56.8,1.6,323.8
39,13:47:07,0.8,1.9,104.1
289,13:51:19,1.2,2.1,114.4
75,13:47:43,1.8,2.5,104.1
639,13:57:10,2.2,2.6,113.7
391,13:53:02,19.7,3,239.6
4,13:46:32,2,3.1,111.9
1313,14:08:26,3.8,3.3,120
33,13:47:01,1.8,3.4,154.3
1478,14:11:51,8.6,3.4,318.9
991,14:03:03,3.6,3.5,114.7
5,13:46:33,1.9,3.9,143.9
6,13:46:34,1.9,3.9,152.7
7,13:46:35,1.8,3.9,152.7
8,13:46:36,1.9,3.9,152.8
9,13:46:37,1.9,3.9,152.8
10,13:46:38,2.2,3.9,152.9
11,13:46:39,1.8,3.9,153
12,13:46:40,1.8,3.9,152.9
13,13:46:41,2,3.9,153.1
14,13:46:42,1.9,3.9,153.2
15,13:46:43,1.8,3.9,153.4
16,13:46:44,1.9,3.9,153.4
17,13:46:45,1.8,3.9,153.6
18,13:46:46,1.9,3.9,153.9
19,13:46:47,1.9,3.9,154.1
20,13:46:48,1.9,3.9,154.2
21,13:46:49,1.9,3.9,154.3
22,13:46:50,2.1,3.9,154.2
23,13:46:51,1.9,3.9,154.1
24,13:46:52,1.9,3.9,153.9
25,13:46:53,1.9,3.9,154
26,13:46:54,1.8,3.9,154
27,13:46:55,1.9,3.9,154
28,13:46:56,2.1,3.9,154
29,13:46:57,1.9,3.9,153.9
30,13:46:58,2.1,3.9,153.8
31,13:46:59,1.9,3.9,154.1
32,13:47:00,1.8,3.9,154.2
361,13:52:32,3.6,3.9,117.6
183,13:49:33,5.9,4.3,107
744,13:58:56,37.3,4.3,292.7
40,13:47:08,5.2,4.4,111.4
534,13:55:25,4.2,4.4,118.8
1355,14:09:08,5.7,4.4,119.8
1202,14:06:35,59,4.8,323
110,13:48:18,4.7,5.4,111.6
218,13:50:08,8.5,5.9,113.3
952,14:02:24,48.4,5.9,317.9
76,13:47:44,5.7,6,104.5
41,13:47:09,7.2,6.3,140.9
42,13:47:10,3.6,6.3,141.4
43,13:47:11,3.7,6.3,161.2
44,13:47:12,3.7,6.3,167.1
45,13:47:13,3.6,6.3,167.2
46,13:47:14,3.7,6.3,167.5
47,13:47:15,3.7,6.3,167.6
48,13:47:16,3.6,6.3,167.7
49,13:47:17,3.8,6.3,167.8
50,13:47:18,3.6,6.3,167.9
51,13:47:19,3.7,6.3,167.8
52,13:47:20,3.7,6.3,167.8
53,13:47:21,3.7,6.3,167.9
54,13:47:22,3.6,6.3,167.6
55,13:47:23,3.6,6.3,147.2
56,13:47:24,3.9,6.3,165.1
57,13:47:25,3.7,6.3,165.5
58,13:47:26,3.6,6.3,165.8
59,13:47:27,3.6,6.3,166.1
60,13:47:28,3.8,6.3,166.4
61,13:47:29,3.6,6.3,166.7
62,13:47:30,3.7,6.3,166.9
63,13:47:31,3.6,6.3,167
64,13:47:32,3.8,6.3,167.1
65,13:47:33,4,6.3,167.3
66,13:47:34,3.9,6.3,167.6
67,13:47:35,3.6,6.3,167.8
68,13:47:36,3.7,6.3,167.9
319,13:51:50,16.3,6.6,227.5
150,13:48:58,7.5,8,113.4
431,13:53:42,13.5,8.4,116.3
77,13:47:45,5.6,8.7,134.4
78,13:47:46,5.5,8.7,153.5
79,13:47:47,5.5,8.7,153.8
80,13:47:48,5.7,8.7,177.5
81,13:47:49,5.5,8.7,177.1
82,13:47:50,5.5,8.7,176.9
83,13:47:51,5.5,8.7,176.9
84,13:47:52,5.4,8.7,177
85,13:47:53,5.5,8.7,177.3
86,13:47:54,5.5,8.7,177.5
87,13:47:55,5.5,8.7,177.5
88,13:47:56,5.5,8.7,177.5
89,13:47:57,5.5,8.7,177.5
90,13:47:58,5.5,8.7,177.5
91,13:47:59,5.6,8.7,177.5
92,13:48:00,5.5,8.7,177.7
93,13:48:01,5.5,8.7,177.8
94,13:48:02,5.5,8.7,177.8
95,13:48:03,6,8.7,178
96,13:48:04,5.5,8.7,178.1
97,13:48:05,5.6,8.7,178.2
98,13:48:06,5.5,8.7,178.1
99,13:48:07,5.5,8.7,178.2
100,13:48:08,5.5,8.7,178.2
101,13:48:09,5.5,8.7,178.2
102,13:48:10,5.7,8.7,178.3
103,13:48:11,5.4,8.7,178.4
104,13:48:12,5.4,8.7,178.5
