,timestamp,cpu usage,memory usage
175,12:51:53,9,1.5
176,12:51:54,9,1.5
177,12:51:55,9,1.5
178,12:51:56,8.9,1.5
179,12:51:57,9,1.5
180,12:51:58,9.1,1.5
181,12:51:59,9,1.5
182,12:52:00,9,1.5
183,12:52:01,9,1.5
184,12:52:02,9,1.5
185,12:52:03,9,1.5
186,12:52:04,9.2,1.5
187,12:52:05,9,1.5
188,12:52:06,8.9,1.5
189,12:52:07,9,1.5
190,12:52:08,9,1.5
191,12:52:09,9,1.5
192,12:52:10,9,1.5
193,12:52:11,4.1,1.5
194,12:52:12,0.1,1.5
195,12:52:13,0.1,1.5
196,12:52:14,0.1,1.5
197,12:52:15,0.1,1.5
198,12:52:16,0.9,1.5
199,12:52:17,10.8,1.5
200,12:52:18,11.2,1.5
201,12:52:19,11.1,1.5
202,12:52:20,10.9,1.5
203,12:52:21,10.8,1.5
204,12:52:22,10.8,1.5
205,12:52:23,10.8,1.5
206,12:52:24,10.8,1.5
207,12:52:25,10.8,1.5
208,12:52:26,10.8,1.5
209,12:52:27,10.8,1.5
210,12:52:28,10.8,1.5
211,12:52:29,10.8,1.5
212,12:52:30,11.1,1.5
213,12:52:31,15,1.5
214,12:52:32,10.9,1.5
215,12:52:33,11,1.5
216,12:52:34,10.8,1.5
217,12:52:35,10.8,1.5
218,12:52:36,10.8,1.5
219,12:52:37,10.8,1.5
220,12:52:38,10.8,1.5
221,12:52:39,10.8,1.5
222,12:52:40,10.8,1.5
223,12:52:41,10.8,1.5
224,12:52:42,10.9,1.5
225,12:52:43,10.9,1.5
226,12:52:44,11.1,1.5
227,12:52:45,10.9,1.5
228,12:52:46,9.4,1.5
229,12:52:47,0.1,1.5
230,12:52:48,0.1,1.5
231,12:52:49,0.1,1.5
232,12:52:50,0.1,1.5
233,12:52:51,11.6,1.5
234,12:52:52,12.6,1.5
235,12:52:53,12.6,1.5
236,12:52:54,12.6,1.5
237,12:52:55,12.6,1.5
238,12:52:56,12.5,1.5
239,12:52:57,12.6,1.5
240,12:52:58,12.6,1.5
241,12:52:59,12.6,1.5
242,12:53:00,12.6,1.5
243,12:53:01,12.6,1.5
244,12:53:02,12.7,1.5
245,12:53:03,12.6,1.5
246,12:53:04,12.6,1.5
247,12:53:05,12.6,1.5
248,12:53:06,12.6,1.5
249,12:53:07,12.6,1.5
250,12:53:08,12.6,1.5
251,12:53:09,12.6,1.5
252,12:53:10,12.5,1.5
253,12:53:11,12.6,1.5
254,12:53:12,12.5,1.5
255,12:53:13,12.6,1.5
256,12:53:14,12.6,1.5
257,12:53:15,12.8,1.5
258,12:53:16,12.6,1.5
259,12:53:17,12.6,1.5
260,12:53:18,12.6,1.5
261,12:53:19,12.5,1.5
