,timestamp,cpu usage,memory usage
173,12:48:43,7.3,11.0
174,12:48:44,7.3,11.0
175,12:48:45,7.3,11.0
176,12:48:46,7.3,11.0
177,12:48:47,7.2,11.0
178,12:48:48,2.9,1.5
179,12:48:49,0.1,1.5
180,12:48:50,0.1,1.5
181,12:48:51,0.1,1.5
182,12:48:52,0.6,1.5
183,12:48:53,0.3,1.5
184,12:48:54,0.1,1.5
185,12:48:55,0.1,1.5
186,12:48:56,0.2,1.5
187,12:48:57,0.1,1.5
188,12:48:58,7.5,8.0
189,12:48:59,9.0,13.4
190,12:49:00,9.0,13.4
191,12:49:01,9.0,13.4
192,12:49:02,9.0,13.4
193,12:49:03,9.0,13.4
194,12:49:04,9.0,13.4
195,12:49:05,9.0,13.4
196,12:49:06,9.0,13.4
197,12:49:07,9.4,13.4
198,12:49:08,9.0,13.4
199,12:49:09,9.1,13.4
200,12:49:10,9.1,13.4
201,12:49:11,9.0,13.4
202,12:49:12,9.0,13.4
203,12:49:13,9.0,13.4
204,12:49:14,9.0,13.4
205,12:49:15,9.0,13.4
206,12:49:16,9.1,13.4
207,12:49:17,9.0,13.4
208,12:49:18,9.0,13.4
209,12:49:19,13.9,13.4
210,12:49:20,9.0,13.4
211,12:49:21,9.2,13.4
212,12:49:22,9.1,13.4
213,12:49:23,9.0,13.4
214,12:49:24,9.4,13.4
215,12:49:25,9.1,13.4
216,12:49:26,9.0,13.4
217,12:49:27,9.0,13.4
218,12:49:28,2.2,1.5
219,12:49:29,0.1,1.5
220,12:49:30,0.1,1.5
221,12:49:31,0.1,1.5
222,12:49:32,0.1,1.5
223,12:49:33,5.9,4.3
224,12:49:34,10.9,11.6
225,12:49:35,10.8,15.8
226,12:49:36,10.9,15.8
227,12:49:37,11.1,15.8
228,12:49:38,10.8,15.8
229,12:49:39,10.9,15.8
230,12:49:40,10.9,15.8
231,12:49:41,10.8,15.8
232,12:49:42,10.8,15.8
233,12:49:43,10.8,15.8
234,12:49:44,10.8,15.8
235,12:49:45,10.9,15.8
236,12:49:46,10.9,15.8
237,12:49:47,10.8,15.8
238,12:49:48,11.1,15.8
239,12:49:49,10.8,15.8
240,12:49:50,10.8,15.8
241,12:49:51,10.9,15.8
242,12:49:52,10.8,15.8
243,12:49:53,10.8,15.8
244,12:49:54,10.8,15.8
245,12:49:55,10.8,15.8
246,12:49:56,10.8,15.8
247,12:49:57,10.8,15.8
248,12:49:58,10.8,15.8
249,12:49:59,10.8,15.8
250,12:50:00,10.8,15.8
251,12:50:01,10.8,15.8
252,12:50:02,11.6,15.8
253,12:50:03,6.1,1.5
254,12:50:04,0.1,1.5
255,12:50:05,0.1,1.5
256,12:50:06,0.1,1.5
257,12:50:07,0.1,1.5
258,12:50:08,8.5,5.9
259,12:50:09,12.6,14.5
260,12:50:10,12.6,18.2
261,12:50:11,12.6,18.2
262,12:50:12,12.5,18.2
263,12:50:13,12.6,18.2
264,12:50:14,12.8,18.2
265,12:50:15,12.6,18.2
266,12:50:16,12.9,18.2
267,12:50:17,12.6,18.2
268,12:50:18,12.5,18.2
269,12:50:19,12.7,18.2
270,12:50:20,12.6,18.2
271,12:50:21,12.6,18.2
272,12:50:22,12.6,18.2
273,12:50:23,12.6,18.2
274,12:50:24,12.6,18.2
275,12:50:25,12.6,18.2
276,12:50:26,12.6,18.2
277,12:50:27,12.5,18.2
278,12:50:28,13.2,18.2
279,12:50:29,12.7,18.2
280,12:50:30,12.6,18.2
281,12:50:31,12.6,18.2
282,12:50:32,12.7,18.2
283,12:50:33,12.8,18.2
284,12:50:34,12.6,18.2
285,12:50:35,13.2,18.2
286,12:50:36,12.6,18.2
287,12:50:37,12.8,18.2
288,12:50:38,5.5,1.5
289,12:50:39,0.1,1.5
290,12:50:40,0.0,1.5
291,12:50:41,0.1,1.5
292,12:50:42,0.0,1.5
293,12:50:43,0.2,1.5
294,12:50:44,14.3,12.8
295,12:50:45,14.4,20.6
296,12:50:46,14.3,20.6
297,12:50:47,14.3,20.6
298,12:50:48,14.4,20.6
299,12:50:49,14.5,20.6
300,12:50:50,14.6,20.6
301,12:50:51,14.4,20.6
302,12:50:52,14.3,20.6
303,12:50:53,14.3,20.6
304,12:50:54,14.4,20.6
305,12:50:55,14.4,20.6
306,12:50:56,14.4,20.6
307,12:50:57,14.4,20.6
308,12:50:58,14.4,20.6
309,12:50:59,14.4,20.6
310,12:51:00,14.3,20.6
311,12:51:01,14.4,20.6
312,12:51:02,14.5,20.6
313,12:51:03,14.7,20.6
314,12:51:04,14.6,20.6
315,12:51:05,14.4,20.6
316,12:51:06,14.4,20.6
317,12:51:07,14.5,20.6
318,12:51:08,14.3,20.6
319,12:51:09,14.3,20.6
320,12:51:10,14.4,20.6
321,12:51:11,14.3,20.6
322,12:51:12,14.3,20.6
323,12:51:13,14.4,11.1
324,12:51:14,1.4,1.5
325,12:51:15,0.1,1.5
326,12:51:16,0.4,1.5
327,12:51:17,0.1,1.5
328,12:51:18,0.1,1.5
329,12:51:19,1.2,2.1
330,12:51:20,16.1,15.7
331,12:51:21,16.2,23.0
332,12:51:22,16.2,23.0
333,12:51:23,16.2,23.0
334,12:51:24,16.3,23.0
335,12:51:25,16.2,23.0
336,12:51:26,16.3,23.0
337,12:51:27,16.3,23.0
338,12:51:29,16.3,23.0
339,12:51:30,16.4,23.0
340,12:51:31,20.6,23.0
341,12:51:32,16.2,23.0
342,12:51:33,16.2,23.0
343,12:51:34,16.7,23.0
344,12:51:35,16.7,23.0
345,12:51:36,16.2,23.0
346,12:51:37,16.3,23.0
347,12:51:38,16.3,23.0
348,12:51:39,16.1,23.0
349,12:51:40,16.2,23.0
350,12:51:41,16.2,23.0
351,12:51:42,16.1,23.0
352,12:51:43,16.4,23.0
353,12:51:44,16.2,23.0
354,12:51:45,16.1,23.0
355,12:51:46,16.2,23.0
356,12:51:47,16.7,23.0
357,12:51:48,16.2,23.0
358,12:51:49,16.1,23.0
359,12:51:50,16.3,6.6
360,12:51:51,0.9,1.5
361,12:51:52,0.1,1.5
362,12:51:53,0.1,1.5
363,12:51:54,0.1,1.5
364,12:51:55,0.1,1.5
365,12:51:56,0.1,1.5
366,12:51:57,14.4,13.9
367,12:51:58,18.0,25.4
368,12:51:59,18.0,25.4
369,12:52:00,17.9,25.4
370,12:52:01,18.0,25.4
371,12:52:02,18.1,25.4
372,12:52:03,17.9,25.4
373,12:52:04,18.4,25.4
374,12:52:05,17.9,25.4
375,12:52:06,17.9,25.4
376,12:52:07,18.0,25.4
377,12:52:08,18.0,25.4
378,12:52:09,17.9,25.4
379,12:52:10,18.0,25.4
380,12:52:11,17.9,25.4
381,12:52:12,18.2,25.4
382,12:52:13,18.0,25.4
383,12:52:14,18.4,25.4
384,12:52:15,17.9,25.4
385,12:52:16,17.9,25.4
386,12:52:17,18.0,25.4
387,12:52:18,17.9,25.4
388,12:52:19,18.0,25.4
389,12:52:20,17.9,25.4
390,12:52:21,17.9,25.4
391,12:52:22,18.0,25.4
392,12:52:23,18.0,25.4
393,12:52:24,17.9,25.4
394,12:52:25,18.0,25.4
395,12:52:26,17.9,25.4
396,12:52:27,6.3,1.5
397,12:52:28,0.1,1.5
398,12:52:29,0.5,1.5
