,0,1,2,3
1420,13:13:26,0.1,1.5,128.5
1452,13:13:58,0.1,1.5,399.6
1453,13:13:59,0.1,1.5,228.7
1486,13:14:32,0.1,1.5,234.1
1518,13:15:04,0.1,1.5,395.5
1552,13:15:38,0.1,1.5,128.1
1553,13:15:39,0.1,1.5,128.4
1585,13:16:11,0.1,1.5,385.7
1586,13:16:12,0.1,1.5,128.7
1619,13:16:45,0.1,1.5,122.8
1651,13:17:17,0.1,1.5,392
1652,13:17:18,0.1,1.5,169.9
1653,13:17:19,0.1,1.5,134
1686,13:17:52,0.1,1.5,308.1
1720,13:18:26,0.1,1.5,389.5
1721,13:18:27,0.1,1.5,345.3
1754,13:19:01,0.1,1.5,363
1755,13:19:02,0.1,1.5,131.7
1756,13:19:03,0.1,1.5,125
1757,13:19:04,0.1,1.5,118.9
1789,13:19:36,0.1,1.5,128.7
1821,13:20:08,0.1,1.5,344.9
1822,13:20:09,0.1,1.5,125.7
1823,13:20:10,0.1,1.5,125.5
1824,13:20:11,0.1,1.5,125.6
1856,13:20:43,0.1,1.5,176.4
1857,13:20:44,0.1,1.5,130.7
1889,13:21:16,0.1,1.5,302.8
1891,13:21:18,0.1,1.5,128.6
1892,13:21:19,0.1,1.5,128.5
1894,13:21:21,0.1,1.5,127.4
2196,13:26:23,0.1,1.5,381.6
2198,13:26:25,0.1,1.5,138.5
2200,13:26:27,0.1,1.5,131
2202,13:26:29,0.1,1.5,130.9
1,12:48:59,0.2,1.4,126.1
12,12:49:10,0.2,1.4,113.7
88,12:50:26,0.2,1.5,111.2
90,12:50:28,0.2,1.5,118.7
308,12:54:30,0.2,1.5,150.8
713,13:01:32,0.2,1.5,127.7
853,13:03:53,0.2,1.5,118.9
887,13:04:27,0.2,1.5,132.2
988,13:06:08,0.2,1.5,123.2
1144,13:08:44,0.2,1.5,200.2
1210,13:09:50,0.2,1.5,310.1
1247,13:10:28,0.2,1.5,137.2
1551,13:15:37,0.2,1.5,345.3
1685,13:17:51,0.2,1.5,391.2
1722,13:18:28,0.2,1.5,126.7
1723,13:18:29,0.2,1.5,126.6
16,12:49:14,0.3,1.4,107.6
91,12:50:29,0.3,1.5,106.8
443,12:56:53,0.3,1.5,124.6
501,12:58:00,0.3,1.5,183.1
503,12:58:02,0.3,1.5,119.7
605,12:59:44,0.3,1.5,119.2
1021,13:06:41,0.3,1.5,129.3
1088,13:07:48,0.3,1.5,127.5
1385,13:13:51,0.3,1.5,399
1485,13:14:31,0.3,1.5,399.4
1519,13:15:05,0.3,1.5,216.9
1689,13:17:55,0.3,1.5,120.2
2203,13:26:30,0.3,1.5,131.1
51,12:49:49,0.4,1.4,110
89,12:50:27,0.4,1.5,110.5
280,12:53:58,0.4,1.5,104
642,13:00:21,0.4,1.5,123.4
715,13:01:34,0.4,1.5,121.3
920,13:05:00,0.4,1.5,173.2
1092,13:07:52,0.4,1.5,130.9
1349,13:13:15,0.4,1.5,383.4
1687,13:17:53,0.4,1.5,135.4
4,12:49:02,0.5,1.4,111.2
49,12:49:47,0.5,1.4,155.8
852,13:03:52,0.5,1.5,176.4
1105,13:08:05,0.6,1.5,104.3
84,12:50:22,0.7,1.5,178.9
953,13:05:33,0.7,1.5,318.1
2201,13:26:28,0.7,1.5,130.7
1212,13:09:52,0.8,1.5,146.5
198,12:52:16,0.9,1.5,115.9
341,12:55:11,0.9,1.5,117.8
922,13:05:02,1,1.5,121.6
1091,13:07:51,1.1,1.5,146.2
19,12:49:17,1.3,1.4,107.5
1090,13:07:50,1.6,1.5,138.3
20,12:49:18,1.8,1.4,108.1
22,12:49:20,1.8,1.4,129.5
23,12:49:21,1.8,1.4,129.7
27,12:49:25,1.8,1.4,154
29,12:49:27,1.8,1.4,129.5
33,12:49:31,1.8,1.4,156.7
35,12:49:33,1.8,1.4,156.6
39,12:49:37,1.8,1.4,156.5
41,12:49:39,1.8,1.4,156.4
45,12:49:43,1.8,1.4,156.3
47,12:49:45,1.8,1.4,156.1
48,12:49:46,1.8,1.4,155.9
680,13:00:59,1.8,1.5,117.6
21,12:49:19,1.9,1.4,119.2
24,12:49:22,1.9,1.4,153.5
25,12:49:23,1.9,1.4,153.8
26,12:49:24,1.9,1.4,154.1
28,12:49:26,1.9,1.4,117.5
30,12:49:28,1.9,1.4,129.6
31,12:49:29,1.9,1.4,151
34,12:49:32,1.9,1.4,156.7
36,12:49:34,1.9,1.4,156.6
37,12:49:35,1.9,1.4,156.5
38,12:49:36,1.9,1.4,156.4
40,12:49:38,1.9,1.4,156.4
42,12:49:40,1.9,1.4,156.3
43,12:49:41,1.9,1.4,156.3
46,12:49:44,1.9,1.4,156.3
44,12:49:42,2.1,1.4,156.3
32,12:49:30,2.3,1.4,156.7
445,12:56:55,2.4,1.5,124
1346,13:13:12,2.4,1.5,383.1
93,12:50:31,2.5,1.5,113.5
311,12:54:35,2.6,1.5,117.4
1345,13:13:11,2.7,1.5,394.2
1788,13:19:35,2.8,1.5,390.3
123,12:51:01,2.9,1.5,178.5
54,12:49:52,3.2,1.4,110
56,12:49:54,3.6,1.4,140.9
58,12:49:56,3.6,1.4,159.4
59,12:49:57,3.6,1.4,169.5
61,12:49:59,3.6,1.4,168.8
62,12:50:00,3.6,1.4,169
63,12:50:01,3.6,1.4,169.1
64,12:50:02,3.6,1.4,169.5
66,12:50:04,3.6,1.4,169.8
67,12:50:05,3.6,1.4,169.9
70,12:50:08,3.6,1.4,170.6
73,12:50:11,3.6,1.4,171.2
74,12:50:12,3.6,1.4,171.3
75,12:50:13,3.6,1.4,171.3
76,12:50:14,3.6,1.4,171.3
77,12:50:15,3.6,1.4,171.3
78,12:50:16,3.6,1.4,171.3
80,12:50:18,3.6,1.4,171.4
60,12:49:58,3.7,1.4,169.3
65,12:50:03,3.7,1.4,169.6
68,12:50:06,3.7,1.4,170.1
69,12:50:07,3.7,1.4,170.2
71,12:50:09,3.7,1.4,170.9
72,12:50:10,3.7,1.4,171.1
79,12:50:17,3.7,1.4,171.3
55,12:49:53,3.8,1.4,120.2
57,12:49:55,3.8,1.4,140.3
81,12:50:19,3.9,1.4,171.4
193,12:52:11,4.1,1.5,203.8
251,12:53:25,4.2,1.5,116.5
163,12:51:41,4.3,1.5,106.2
444,12:56:54,5,1.5,118.3
1089,13:07:49,5.2,1.5,127.6
1790,13:19:37,5.3,1.5,122.2
96,12:50:34,5.4,1.5,143.3
97,12:50:35,5.4,1.5,142.8
98,12:50:36,5.4,1.5,151.5
99,12:50:37,5.4,1.5,175.8
100,12:50:38,5.4,1.5,183.4
101,12:50:39,5.4,1.5,183.2
102,12:50:40,5.4,1.5,183
103,12:50:41,5.4,1.5,182.9
105,12:50:43,5.4,1.5,176
106,12:50:44,5.4,1.5,176
110,12:50:48,5.4,1.5,176
112,12:50:50,5.4,1.5,176
114,12:50:52,5.4,1.5,176.8
115,12:50:53,5.4,1.5,177.3
116,12:50:54,5.4,1.5,177.7
118,12:50:56,5.4,1.5,178.6
120,12:50:58,5.4,1.5,178
121,12:50:59,5.4,1.5,177.9
122,12:51:00,5.4,1.5,178.2
107,12:50:45,5.5,1.5,176.2
108,12:50:46,5.5,1.5,181.3
109,12:50:47,5.5,1.5,181.5
113,12:50:51,5.5,1.5,176.3
117,12:50:55,5.5,1.5,178.2
119,12:50:57,5.6,1.5,178.3
82,12:50:20,5.7,1.4,171.4
94,12:50:32,5.7,1.5,113.4
104,12:50:42,5.7,1.5,176.2
111,12:50:49,5.8,1.5,175.9
83,12:50:21,6.2,1.5,171.6
95,12:50:33,6.2,1.5,134
129,12:51:07,6.6,1.5,110.4
1654,13:17:20,6.8,1.5,133.3
131,12:51:09,7.2,1.5,141.7
133,12:51:11,7.2,1.5,142.4
134,12:51:12,7.2,1.5,176.4
135,12:51:13,7.2,1.5,188.8
137,12:51:15,7.2,1.5,189.9
138,12:51:16,7.2,1.5,190.1
139,12:51:17,7.2,1.5,190.5
142,12:51:20,7.2,1.5,191.4
144,12:51:22,7.2,1.5,191.6
146,12:51:24,7.2,1.5,191.6
147,12:51:25,7.2,1.5,191.8
148,12:51:26,7.2,1.5,192.1
149,12:51:27,7.2,1.5,192.2
151,12:51:29,7.2,1.5,178.7
152,12:51:30,7.2,1.5,170.4
504,12:58:03,7.2,1.5,119.5
132,12:51:10,7.3,1.5,142.2
136,12:51:14,7.3,1.5,189.3
143,12:51:21,7.3,1.5,191.6
150,12:51:28,7.3,1.5,192.2
155,12:51:33,7.3,1.5,192.5
156,12:51:34,7.3,1.5,192.9
157,12:51:35,7.3,1.5,193.3
130,12:51:08,7.4,1.5,110.3
140,12:51:18,7.4,1.5,190.8
154,12:51:32,7.4,1.5,185.4
141,12:51:19,7.5,1.5,191.1
145,12:51:23,7.5,1.5,191.3
153,12:51:31,7.5,1.5,178.9
158,12:51:36,7.5,1.5,193.3
1421,13:13:27,7.6,1.5,128.3
610,12:59:49,8.3,1.5,119.9
1550,13:15:36,8.3,1.5,394.3
470,12:57:29,8.7,1.5,116
178,12:51:56,8.9,1.5,201.3
188,12:52:06,8.9,1.5,202.8
164,12:51:42,9,1.5,106.7
165,12:51:43,9,1.5,129.1
166,12:51:44,9,1.5,149
167,12:51:45,9,1.5,165.9
169,12:51:47,9,1.5,199.6
170,12:51:48,9,1.5,199.9
174,12:51:52,9,1.5,200.8
175,12:51:53,9,1.5,200.6
176,12:51:54,9,1.5,200.8
177,12:51:55,9,1.5,200.9
179,12:51:57,9,1.5,201.4
181,12:51:59,9,1.5,201.8
182,12:52:00,9,1.5,201.6
183,12:52:01,9,1.5,201.9
184,12:52:02,9,1.5,202.2
185,12:52:03,9,1.5,202.2
187,12:52:05,9,1.5,202.6
189,12:52:07,9,1.5,203
190,12:52:08,9,1.5,203.5
191,12:52:09,9,1.5,203.6
192,12:52:10,9,1.5,203.8
172,12:51:50,9.1,1.5,200.6
180,12:51:58,9.1,1.5,201.5
173,12:51:51,9.2,1.5,200.8
186,12:52:04,9.2,1.5,202.3
441,12:56:51,9.2,1.4,273.9
168,12:51:46,9.3,1.5,186.2
171,12:51:49,9.3,1.5,200.1
277,12:53:55,9.4,1.5,231.1
1143,13:08:43,10,1.5,378.1
1454,13:14:00,10.3,1.5,130.5
199,12:52:17,10.8,1.5,115.3
202,12:52:21,10.8,1.5,185.6
203,12:52:22,10.8,1.5,203.1
204,12:52:23,10.8,1.5,209.4
205,12:52:25,10.8,1.5,210
206,12:52:26,10.8,1.5,210.4
207,12:52:27,10.8,1.5,210.7
208,12:52:28,10.8,1.5,211
213,12:52:35,10.8,1.5,217.7
214,12:52:36,10.8,1.5,217.2
215,12:52:37,10.8,1.5,216.7
216,12:52:38,10.8,1.5,216.2
217,12:52:40,10.8,1.5,207.5
201,12:52:20,10.9,1.5,158.4
211,12:52:32,10.9,1.5,211.8
218,12:52:42,10.9,1.5,207.3
219,12:52:43,10.9,1.5,207.7
220,12:52:45,10.9,1.5,215.2
212,12:52:33,11,1.5,218.9
209,12:52:30,11.1,1.5,211.4
200,12:52:18,11.2,1.5,115.7
1617,13:16:43,11.2,1.5,392.5
787,13:02:47,11.5,1.5,117.9
1053,13:07:13,11.5,1.5,389
855,13:03:55,11.9,1.5,118.5
781,13:02:41,12.2,1.5,352.4
569,12:59:08,12.4,1.5,298.5
573,12:59:12,12.4,1.5,119.6
241,12:53:10,12.5,1.5,220.7
242,12:53:12,12.5,1.5,213.2
247,12:53:19,12.5,1.5,222.9
225,12:52:52,12.6,1.5,108
226,12:52:53,12.6,1.5,169.9
227,12:52:54,12.6,1.5,164.7
228,12:52:55,12.6,1.5,209.8
229,12:52:57,12.6,1.5,210.5
230,12:52:58,12.6,1.5,210.5
231,12:52:59,12.6,1.5,210.8
232,12:53:00,12.6,1.5,216.9
233,12:53:01,12.6,1.5,216.8
235,12:53:03,12.6,1.5,211.9
236,12:53:04,12.6,1.5,212.5
237,12:53:05,12.6,1.5,221.8
238,12:53:07,12.6,1.5,221.8
239,12:53:08,12.6,1.5,221.7
240,12:53:09,12.6,1.5,221.1
243,12:53:13,12.6,1.5,213.6
244,12:53:14,12.6,1.5,214.2
246,12:53:17,12.6,1.5,223.1
248,12:53:20,12.6,1.5,222.7
746,13:02:06,12.6,1.5,323.3
234,12:53:02,12.7,1.5,211.6
411,12:56:21,12.7,1.5,117.7
245,12:53:15,12.8,1.5,223.4
676,13:00:55,12.9,1.5,337.1
1895,13:21:22,12.9,1.5,121
1855,13:20:42,13.6,1.5,391.5
252,12:53:27,14.3,1.5,123
256,12:53:33,14.3,1.5,226.9
259,12:53:36,14.3,1.4,218.5
264,12:53:42,14.3,1.4,230.6
266,12:53:44,14.3,1.4,231.1
268,12:53:46,14.3,1.4,230.6
270,12:53:48,14.3,1.4,230.8
273,12:53:51,14.3,1.5,231.1
275,12:53:53,14.3,1.5,231
1273,13:10:59,14.3,1.5,396.7
254,12:53:30,14.4,1.4,216.5
255,12:53:32,14.4,1.5,226.2
258,12:53:35,14.4,1.5,231.8
260,12:53:37,14.4,1.4,225
261,12:53:39,14.4,1.4,225.1
263,12:53:41,14.4,1.4,230.7
265,12:53:43,14.4,1.4,230.7
267,12:53:45,14.4,1.4,230.8
269,12:53:47,14.4,1.4,230.8
272,12:53:50,14.4,1.5,231.1
274,12:53:52,14.4,1.5,231
276,12:53:54,14.4,1.5,230.9
1086,13:07:46,14.4,1.5,387.5
257,12:53:34,14.5,1.5,232.1
262,12:53:40,14.5,1.4,230.7
253,12:53:29,14.6,1.5,166.9
1176,13:09:16,14.7,1.5,406
271,12:53:49,14.8,1.5,230.9
335,12:55:05,14.9,1.5,247.1
210,12:52:31,15,1.5,211.5
282,12:54:00,15.2,1.5,114.3
539,12:58:38,15.5,1.5,111.8
955,13:05:35,15.6,1.5,128.5
500,12:57:59,15.8,1.5,290.1
307,12:54:29,15.9,1.5,239.8
284,12:54:02,16.1,1.5,177.5
286,12:54:04,16.1,1.5,231.9
287,12:54:05,16.1,1.5,239
291,12:54:09,16.1,1.5,232.8
293,12:54:11,16.1,1.5,233.7
294,12:54:12,16.1,1.5,240
298,12:54:16,16.1,1.5,239.4
299,12:54:17,16.1,1.5,239.1
303,12:54:24,16.1,1.5,238.8
304,12:54:25,16.1,1.5,239.4
306,12:54:27,16.1,1.5,239.8
283,12:54:01,16.2,1.5,154.1
285,12:54:03,16.2,1.5,195.1
288,12:54:06,16.2,1.5,238.5
290,12:54:08,16.2,1.5,232.9
292,12:54:10,16.2,1.5,233
295,12:54:13,16.2,1.5,239.5
296,12:54:14,16.2,1.5,239.4
297,12:54:15,16.2,1.5,239.4
301,12:54:20,16.2,1.5,238.8
305,12:54:26,16.2,1.5,239.5
289,12:54:07,16.3,1.5,238.3
302,12:54:22,16.3,1.5,238.9
300,12:54:19,16.5,1.5,239.1
1213,13:09:53,16.7,1.5,146.1
603,12:59:42,17.1,1.5,324
1487,13:14:33,17.1,1.5,131.7
371,12:55:41,17.4,1.5,259.2
1584,13:16:10,17.4,1.5,393.6
312,12:54:37,17.9,1.5,195.5
314,12:54:40,17.9,1.5,241.1
316,12:54:44,17.9,1.5,247.6
319,12:54:48,17.9,1.5,245.9
320,12:54:49,17.9,1.5,245.9
325,12:54:55,17.9,1.5,245.7
327,12:54:57,17.9,1.5,246
329,12:54:59,17.9,1.5,246.2
330,12:55:00,17.9,1.5,246.3
331,12:55:01,17.9,1.5,246.5
332,12:55:02,17.9,1.5,246.8
334,12:55:04,17.9,1.5,247
313,12:54:39,18,1.5,236
317,12:54:45,18,1.5,233.1
318,12:54:47,18,1.5,239.8
322,12:54:52,18,1.5,245.8
324,12:54:54,18,1.5,245.5
326,12:54:56,18,1.5,245.9
328,12:54:58,18,1.5,246.1
333,12:55:03,18,1.5,246.9
315,12:54:42,18.1,1.5,241.3
321,12:54:50,18.2,1.5,246.1
323,12:54:53,18.2,1.5,245.6
919,13:04:59,18.2,1.5,392.7
851,13:03:51,18.5,1.5,365.8
534,12:58:33,18.9,1.5,302.6
1019,13:06:39,19.1,1.5,390.7
646,13:00:25,19.5,1.5,117.7
342,12:55:12,19.7,1.5,111.8
345,12:55:15,19.7,1.5,204.7
346,12:55:16,19.7,1.5,245.3
347,12:55:17,19.7,1.5,254.9
348,12:55:18,19.7,1.5,254.8
349,12:55:19,19.7,1.5,255
351,12:55:21,19.7,1.5,235.8
352,12:55:22,19.7,1.5,236.1
353,12:55:23,19.7,1.5,246.9
355,12:55:25,19.7,1.5,255.8
356,12:55:26,19.7,1.5,256.3
357,12:55:27,19.7,1.5,256.7
360,12:55:30,19.7,1.5,257.8
361,12:55:31,19.7,1.5,257.6
365,12:55:35,19.7,1.5,263.1
367,12:55:37,19.7,1.5,253
370,12:55:40,19.7,1.5,258.9
344,12:55:14,19.8,1.5,187.2
354,12:55:24,19.8,1.5,255.3
358,12:55:28,19.8,1.5,257.1
362,12:55:32,19.8,1.5,257.5
364,12:55:34,19.8,1.5,263.2
366,12:55:36,19.8,1.5,262.8
368,12:55:38,19.8,1.5,252.5
369,12:55:39,19.8,1.5,252.2
343,12:55:13,19.9,1.5,153.3
1383,13:13:49,19.9,1.5,398.9
359,12:55:29,20,1.5,257.5
350,12:55:20,20.1,1.5,254.5
1209,13:09:49,20.1,1.5,411.2
363,12:55:33,20.3,1.5,258
1309,13:11:35,20.3,1.5,127.8
406,12:56:16,20.5,1.5,267.9
466,12:57:25,20.6,1.5,282.3
377,12:55:47,20.8,1.5,117.3
378,12:55:48,21.4,1.5,165.1
382,12:55:52,21.4,1.5,269.3
387,12:55:57,21.4,1.5,269
394,12:56:04,21.4,1.5,268
383,12:55:53,21.5,1.5,269.2
384,12:55:54,21.5,1.5,269.1
386,12:55:56,21.5,1.5,269.1
388,12:55:58,21.5,1.5,259.7
389,12:55:59,21.5,1.5,260.1
390,12:56:00,21.5,1.5,260.6
391,12:56:01,21.5,1.5,267.9
392,12:56:02,21.5,1.5,267.9
397,12:56:07,21.5,1.5,259
401,12:56:11,21.5,1.5,267.5
402,12:56:12,21.5,1.5,267.6
403,12:56:13,21.5,1.5,267.7
404,12:56:14,21.5,1.5,267.7
379,12:55:49,21.6,1.5,225.2
381,12:55:51,21.6,1.5,250.6
393,12:56:03,21.6,1.5,267.9
396,12:56:06,21.6,1.5,259.1
398,12:56:08,21.6,1.5,259.6
400,12:56:10,21.6,1.5,260.4
405,12:56:15,21.6,1.5,267.9
395,12:56:05,21.7,1.5,268.2
399,12:56:09,21.7,1.5,259.9
380,12:55:50,21.8,1.5,240.4
385,12:55:55,21.9,1.5,269.2
821,13:03:21,22.5,1.5,118.3
640,13:00:19,22.9,1.5,333
1306,13:11:32,22.9,1.5,394.6
716,13:01:35,23.1,1.5,121.6
424,12:56:34,23.2,1.5,272.1
429,12:56:39,23.2,1.5,272.5
431,12:56:41,23.2,1.5,272.9
434,12:56:44,23.2,1.5,273.4
418,12:56:28,23.3,1.5,269.8
422,12:56:32,23.3,1.5,271.4
426,12:56:36,23.3,1.5,266
427,12:56:37,23.3,1.5,265.9
430,12:56:40,23.3,1.5,272.8
432,12:56:42,23.3,1.5,273.1
435,12:56:45,23.3,1.5,273.5
436,12:56:46,23.3,1.5,273.7
437,12:56:47,23.3,1.5,273.8
439,12:56:49,23.3,1.5,273.9
2195,13:26:22,23.3,1.5,397.4
412,12:56:22,23.4,1.5,123
414,12:56:24,23.4,1.5,260.1
415,12:56:25,23.4,1.5,260.4
416,12:56:26,23.4,1.5,260.9
417,12:56:27,23.4,1.5,269.7
419,12:56:29,23.4,1.5,270.1
420,12:56:30,23.4,1.5,270.6
421,12:56:31,23.4,1.5,271.1
423,12:56:33,23.4,1.5,271.8
425,12:56:35,23.4,1.5,271.6
428,12:56:38,23.4,1.5,266.2
433,12:56:43,23.4,1.5,273.2
438,12:56:48,23.4,1.5,273.8
413,12:56:23,23.5,1.5,245.7
440,12:56:50,23.6,1.5,273.8
448,12:57:00,25,1.5,274.7
454,12:57:10,25,1.5,281.3
455,12:57:12,25,1.5,281.6
457,12:57:15,25,1.5,282.1
461,12:57:19,25,1.5,281.2
465,12:57:24,25,1.5,281.9
446,12:56:57,25.1,1.5,187
447,12:56:59,25.1,1.5,274.2
449,12:57:02,25.1,1.5,275.1
450,12:57:04,25.1,1.5,281.3
452,12:57:07,25.1,1.5,281.6
453,12:57:09,25.1,1.5,281
456,12:57:14,25.1,1.5,281.9
458,12:57:16,25.1,1.5,281.6
459,12:57:17,25.1,1.5,281.2
460,12:57:18,25.1,1.5,281
462,12:57:20,25.1,1.5,281.5
464,12:57:22,25.1,1.5,281.8
451,12:57:05,25.2,1.5,281.6
463,12:57:21,25.2,1.5,281.7
751,13:02:11,25.4,1.5,133.2
889,13:04:29,25.5,1.5,125.5
472,12:57:31,26.8,1.5,198.4
475,12:57:34,26.8,1.5,282.1
477,12:57:36,26.8,1.5,287.8
480,12:57:39,26.8,1.5,287.9
484,12:57:43,26.8,1.5,288.4
487,12:57:46,26.8,1.5,288.6
490,12:57:49,26.8,1.5,288.7
497,12:57:56,26.8,1.5,289.8
474,12:57:33,26.9,1.5,259.5
478,12:57:37,26.9,1.5,287.7
479,12:57:38,26.9,1.5,287.9
481,12:57:40,26.9,1.5,288
482,12:57:41,26.9,1.5,288.2
483,12:57:42,26.9,1.5,288.5
485,12:57:44,26.9,1.5,288.5
486,12:57:45,26.9,1.5,288.5
488,12:57:47,26.9,1.5,288.6
489,12:57:48,26.9,1.5,288.7
492,12:57:51,26.9,1.5,289.1
